day,R_cmday,eq32,mean_Se
1,15.584000,5.224515e-02,0.535345
2,0.000000,3.947308e-02,0.535142
3,0.000000,3.583199e-02,0.534999
4,0.000000,3.380745e-02,0.534868
5,4.307136,2.864035e-02,0.558735
6,0.469869,2.619046e-02,0.561137
7,0.000000,2.469463e-02,0.560997
8,0.000000,2.341997e-02,0.560867
9,0.000000,2.234206e-02,0.560734
10,0.000000,2.144676e-02,0.560583
11,0.000000,2.075323e-02,0.560368
12,0.000000,2.033047e-02,0.559986
13,13.078030,1.289357e-02,0.632639
14,0.000000,7.616962e-03,0.631435
15,0.000000,6.190193e-03,0.629829
16,10.806995,3.072924e-03,0.686909
17,0.000000,1.221032e-03,0.680065
18,6.343236,1.741925e-04,0.699882
19,3.210774,3.260491e-05,0.696992
20,5.090251,4.694846e-05,0.704107
21,2.740905,7.959654e-05,0.696965
22,4.698693,1.990452e-05,0.699824
23,3.289085,2.739286e-05,0.696067
24,4.542070,1.305068e-05,0.699622
25,3.210774,3.402885e-05,0.695912
