depth_cm,hour,day_frac,Se
0.00,1,0.04167,0.927341
2.50,1,0.04167,0.911429
5.00,1,0.04167,0.893625
7.50,1,0.04167,0.873770
10.00,1,0.04167,0.851697
12.50,1,0.04167,0.827246
15.00,1,0.04167,0.800269
17.50,1,0.04167,0.770650
20.00,1,0.04167,0.738324
22.50,1,0.04167,0.703310
25.00,1,0.04167,0.665765
27.50,1,0.04167,0.626096
30.00,1,0.04167,0.585146
32.50,1,0.04167,0.544479
35.00,1,0.04167,0.506649
37.50,1,0.04167,0.474965
40.00,1,0.04167,0.452068
42.50,1,0.04167,0.438072
45.00,1,0.04167,0.430673
47.50,1,0.04167,0.427124
50.00,1,0.04167,0.425510
52.50,1,0.04167,0.424796
55.00,1,0.04167,0.424483
57.50,1,0.04167,0.424347
60.00,1,0.04167,0.424288
62.50,1,0.04167,0.424262
65.00,1,0.04167,0.424251
67.50,1,0.04167,0.424246
70.00,1,0.04167,0.424244
72.50,1,0.04167,0.424243
75.00,1,0.04167,0.424243
77.50,1,0.04167,0.424243
80.00,1,0.04167,0.424242
82.50,1,0.04167,0.424242
85.00,1,0.04167,0.424242
87.50,1,0.04167,0.424242
90.00,1,0.04167,0.424242
92.50,1,0.04167,0.424242
95.00,1,0.04167,0.424242
97.50,1,0.04167,0.424242
100.00,1,0.04167,0.424242
102.50,1,0.04167,0.424242
105.00,1,0.04167,0.424242
107.50,1,0.04167,0.424242
110.00,1,0.04167,0.424242
112.50,1,0.04167,0.424242
115.00,1,0.04167,0.424242
117.50,1,0.04167,0.424242
120.00,1,0.04167,0.424242
122.50,1,0.04167,0.424242
125.00,1,0.04167,0.424242
127.50,1,0.04167,0.424242
130.00,1,0.04167,0.424242
132.50,1,0.04167,0.424242
135.00,1,0.04167,0.424242
137.50,1,0.04167,0.424242
140.00,1,0.04167,0.424242
142.50,1,0.04167,0.424242
145.00,1,0.04167,0.424242
147.50,1,0.04167,0.424242
150.00,1,0.04167,0.424242
152.50,1,0.04167,0.424242
155.00,1,0.04167,0.424242
157.50,1,0.04167,0.424242
160.00,1,0.04167,0.424242
162.50,1,0.04167,0.424242
165.00,1,0.04167,0.424242
167.50,1,0.04167,0.424242
170.00,1,0.04167,0.424242
172.50,1,0.04167,0.424242
175.00,1,0.04167,0.424242
177.50,1,0.04167,0.424242
180.00,1,0.04167,0.424242
182.50,1,0.04167,0.424242
185.00,1,0.04167,0.424242
187.50,1,0.04167,0.424242
190.00,1,0.04167,0.424242
192.50,1,0.04167,0.424242
195.00,1,0.04167,0.424242
197.50,1,0.04167,0.424242
200.00,1,0.04167,0.424242
202.50,1,0.04167,0.424242
205.00,1,0.04167,0.424242
207.50,1,0.04167,0.424242
210.00,1,0.04167,0.424242
212.50,1,0.04167,0.424242
215.00,1,0.04167,0.424242
217.50,1,0.04167,0.424242
220.00,1,0.04167,0.424242
222.50,1,0.04167,0.424242
225.00,1,0.04167,0.424242
227.50,1,0.04167,0.424242
230.00,1,0.04167,0.424242
232.50,1,0.04167,0.424242
235.00,1,0.04167,0.424242
237.50,1,0.04167,0.424242
240.00,1,0.04167,0.424242
242.50,1,0.04167,0.424242
245.00,1,0.04167,0.424242
247.50,1,0.04167,0.424242
250.00,1,0.04167,0.424242
252.50,1,0.04167,0.424242
255.00,1,0.04167,0.424242
257.50,1,0.04167,0.424242
260.00,1,0.04167,0.424242
262.50,1,0.04167,0.424242
265.00,1,0.04167,0.424242
267.50,1,0.04167,0.424242
270.00,1,0.04167,0.424242
272.50,1,0.04167,0.424242
275.00,1,0.04167,0.424242
277.50,1,0.04167,0.424242
280.00,1,0.04167,0.424242
282.50,1,0.04167,0.424242
285.00,1,0.04167,0.424242
287.50,1,0.04167,0.424242
290.00,1,0.04167,0.424242
292.50,1,0.04167,0.424242
295.00,1,0.04167,0.424242
297.50,1,0.04167,0.424242
300.00,1,0.04167,0.424242
302.50,1,0.04167,0.424242
305.00,1,0.04167,0.424242
307.50,1,0.04167,0.424242
310.00,1,0.04167,0.424242
312.50,1,0.04167,0.424242
315.00,1,0.04167,0.424242
317.50,1,0.04167,0.424242
320.00,1,0.04167,0.424242
322.50,1,0.04167,0.424242
325.00,1,0.04167,0.424242
327.50,1,0.04167,0.424242
330.00,1,0.04167,0.424242
332.50,1,0.04167,0.424242
335.00,1,0.04167,0.424242
337.50,1,0.04167,0.424242
340.00,1,0.04167,0.424242
342.50,1,0.04167,0.424242
345.00,1,0.04167,0.424242
347.50,1,0.04167,0.424242
350.00,1,0.04167,0.424242
352.50,1,0.04167,0.424242
355.00,1,0.04167,0.424242
357.50,1,0.04167,0.424242
360.00,1,0.04167,0.424242
362.50,1,0.04167,0.424242
365.00,1,0.04167,0.424242
367.50,1,0.04167,0.424242
370.00,1,0.04167,0.424242
372.50,1,0.04167,0.424242
375.00,1,0.04167,0.424242
377.50,1,0.04167,0.424242
380.00,1,0.04167,0.424242
382.50,1,0.04167,0.424242
385.00,1,0.04167,0.424242
387.50,1,0.04167,0.424242
390.00,1,0.04167,0.424242
392.50,1,0.04167,0.424242
395.00,1,0.04167,0.424242
397.50,1,0.04167,0.424242
400.00,1,0.04167,0.424242
402.50,1,0.04167,0.424242
405.00,1,0.04167,0.424242
407.50,1,0.04167,0.424242
410.00,1,0.04167,0.424242
412.50,1,0.04167,0.424242
415.00,1,0.04167,0.424242
417.50,1,0.04167,0.424242
420.00,1,0.04167,0.424242
422.50,1,0.04167,0.424242
425.00,1,0.04167,0.424242
427.50,1,0.04167,0.424242
430.00,1,0.04167,0.424242
432.50,1,0.04167,0.424242
435.00,1,0.04167,0.424242
437.50,1,0.04167,0.424242
440.00,1,0.04167,0.424242
442.50,1,0.04167,0.424242
445.00,1,0.04167,0.424242
447.50,1,0.04167,0.424242
450.00,1,0.04167,0.424242
452.50,1,0.04167,0.424242
455.00,1,0.04167,0.424242
457.50,1,0.04167,0.424242
460.00,1,0.04167,0.424242
462.50,1,0.04167,0.424242
465.00,1,0.04167,0.424242
467.50,1,0.04167,0.424242
470.00,1,0.04167,0.424242
472.50,1,0.04167,0.424242
475.00,1,0.04167,0.424242
477.50,1,0.04167,0.424242
480.00,1,0.04167,0.424242
482.50,1,0.04167,0.424242
485.00,1,0.04167,0.424242
487.50,1,0.04167,0.424242
490.00,1,0.04167,0.424242
492.50,1,0.04167,0.424242
495.00,1,0.04167,0.424242
497.50,1,0.04167,0.424242
500.00,1,0.04167,0.424242
502.50,1,0.04167,0.424242
505.00,1,0.04167,0.424242
507.50,1,0.04167,0.424242
510.00,1,0.04167,0.424242
512.50,1,0.04167,0.424242
515.00,1,0.04167,0.424242
517.50,1,0.04167,0.424242
520.00,1,0.04167,0.424242
522.50,1,0.04167,0.424242
525.00,1,0.04167,0.424242
527.50,1,0.04167,0.424242
530.00,1,0.04167,0.424242
532.50,1,0.04167,0.424242
535.00,1,0.04167,0.424242
537.50,1,0.04167,0.424242
540.00,1,0.04167,0.424242
542.50,1,0.04167,0.424242
545.00,1,0.04167,0.424242
547.50,1,0.04167,0.424242
550.00,1,0.04167,0.424242
0.00,2,0.08333,0.485363
2.50,2,0.08333,0.691702
5.00,2,0.08333,0.756912
7.50,2,0.08333,0.790816
10.00,2,0.08333,0.810952
12.50,2,0.08333,0.822931
15.00,2,0.08333,0.829162
17.50,2,0.08333,0.830808
20.00,2,0.08333,0.828435
22.50,2,0.08333,0.822269
25.00,2,0.08333,0.812327
27.50,2,0.08333,0.798490
30.00,2,0.08333,0.780573
32.50,2,0.08333,0.758388
35.00,2,0.08333,0.731834
37.50,2,0.08333,0.700996
40.00,2,0.08333,0.666233
42.50,2,0.08333,0.628225
45.00,2,0.08333,0.588067
47.50,2,0.08333,0.547503
50.00,2,0.08333,0.509246
52.50,2,0.08333,0.476835
55.00,2,0.08333,0.453215
57.50,2,0.08333,0.438697
60.00,2,0.08333,0.430991
62.50,2,0.08333,0.427280
65.00,2,0.08333,0.425585
67.50,2,0.08333,0.424831
70.00,2,0.08333,0.424500
72.50,2,0.08333,0.424355
